P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
FAPA	FAFR	PREI	5.952205038335488	1.3273524501755674e-09	0.9867822547526275	372310117.625	7324051.5	2282330.0	537954.875	83321.25	2942016.75	462600.625	99981.0	6088237.625	32311459.75	1554135.25	135851.25	263539.5	344137.75	28001.25
FAFR	FAPU	FAPE	5.301502540757773	5.7546620357840084e-08	0.07142433643184797	1233636369.46875	7741690.21875	7680899.53125	4850078.46875	154816.3125	9201159.03125	1898845.34375	132390.4375	2125848.78125	125432319.21875	1080632.5625	137085.4375	1031859.6875	1647298.0625	33448.4375
FAPE	FAFR	PEPA	11.379688985241488	0.0	0.602550288279868	1187629311.28125	13968186.53125	7733540.40625	3122694.09375	201841.6875	9479058.96875	2567170.90625	249536.0625	3409367.15625	119186022.09375	1711216.4375	187860.6875	1134269.5625	1419552.3125	52439.8125
FAFR	FAPU	FDEN	6.980314935091231	1.482147737874584e-12	0.09870399548669886	1119902603.546875	7635241.828125	7092903.890625	4232552.078125	130847.40625	8391670.203125	1670030.765625	119184.65625	1950661.203125	112657981.765625	1023246.90625	126116.40625	935129.78125	1482231.65625	28793.90625
FAPU	FAFR	PEPA	8.557669194146833	0.0	0.6716478787421256	1202734741.296875	14001857.140625	7831504.328125	3022157.953125	207288.03125	9469812.953125	2620649.328125	232871.28125	3441939.640625	120903884.390625	1746295.03125	180661.78125	1162380.90625	1406200.40625	44693.53125
FDEN	FAFR	PEPA	15.017416675352697	0.0	0.5219445875997291	1066081724.171875	12864695.578125	6987227.140625	2874374.203125	180966.65625	9500886.078125	2107931.265625	178930.90625	2944739.578125	105644259.765625	1533718.65625	147033.53125	1012477.65625	1355403.78125	40586.03125
FDEN	FAFR	PALT	6.307561036249223	1.4235468359657943e-10	0.981425712476188	973679984.3125	20015285.1875	7091998.9375	1682335.9375	288980.125	9088570.0625	1438611.0625	288427.125	14316513.3125	83358414.0625	3814057.875	411511.875	844122.125	988697.875	74404.125
FDEN	FAFR	PBON	5.7626559960474	4.152540755697487e-09	0.9830446782962563	973945180.4375	19494873.8125	7331194.0625	1660100.6875	280195.5	9216483.625	1438115.0	289170.875	14308519.5	83535247.0	3768170.0	421255.375	859361.5	1021800.25	77929.375
FDEN	FAFR	PEEX	4.805577313536963	7.725302459959948e-07	0.9860045515325723	938781603.703125	18074418.796875	6805587.609375	1508552.546875	242520.59375	9007840.921875	1331123.109375	260085.46875	13831346.546875	80048455.984375	3617367.71875	400377.21875	798081.59375	957873.34375	69742.84375
FDEN	FAFR	PEIN	4.732953002304302	1.1077135781967229e-06	0.9864995222316284	324677727.0625	6355447.5625	2410568.25	513467.75	91335.875	2997969.5	454550.25	91989.875	4759737.5625	27686502.4375	1258869.125	138264.375	273199.0	330002.0	23725.375
FDEN	FAFR	PESE	4.7477442306151465	1.0297458488128797e-06	0.9858467802370393	311916044.109375	6482336.953125	2284433.140625	523971.890625	93294.15625	2960274.265625	464273.640625	94737.53125	4622573.203125	26625226.703125	1236623.53125	130323.03125	271202.90625	319118.78125	24295.15625
