triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
PEPA1_CAOV1_CACA1,CAOV1,0.0,3.53267172668734,0.8353007455843783,0.16469925441562186,0.009169396000000002,0.009169396000000002,-76.12177057168599,-78.82354968769388,11
PEPA1_CAOV1_CACA1,CACA1,0.0,2.756573282823422,0.7696977969985357,0.23030220300146437,0.033907180550000006,0.033907180550000006,-88.43821644402034,-92.36940658209714,20
PEPA1_CAOV1_CATH1,PEPA1,0.0,0.7169610129596174,0.43135919850000004,0.5686408015,0.02224498921379747,0.02224498921379747,-6976.7454600535275,-6642.285746013495,1185
PEPA1_CAOV1_CATH1,CAOV1,0.0,2.026922828895509,0.7904230209203722,0.20957697907962777,0.01084640208625,0.01084640208625,-104.14710197526718,-109.99291076392555,16
PEPA1_CAOV1_CATH1,CATH1,0.0,1.7901517162497975,0.731125829064822,0.2688741709351778,0.033373819357142856,0.033373819357142856,-59.85707338223998,-64.56048173310562,14
PEPA1_CAOV1_CAHE1,PEPA1,0.0,0.6946296746265845,0.4388549295766101,0.5611450704233898,0.022882178203147682,0.022882178203147682,-6895.635288126335,-6575.35319242883,1185
PEPA1_CAOV1_CAHE1,CAOV1,0.0,2.8447445455272344,0.7860042270045209,0.21399577299547912,0.00981517877375,0.00981517877375,-108.85253255121248,-113.18981886429769,16
PEPA1_CAOV1_CAHE1,CAHE1,0.0,2.2930446281770456,0.7994502255870659,0.20054977441293412,0.039140093,0.039140093,-54.63988814677522,-60.097965016457906,14
PEPA1_CAIR1_CASE1,PEPA1,0.0,0.6777494676364375,0.44312913886953786,0.556870861130462,0.02259079605535473,0.02259079605535473,-6909.46019877001,-6600.147043090996,1184
PEPA1_CAIR1_CASE1,CAIR1,0.0,4.370697180377144,0.8339858600595264,0.16601413994047362,0.044522963264,0.044522963264,-77.36906075178143,-81.47427550653879,20
PEPA1_CAIR1_CASE1,CASE1,0.0,4.224875802007689,0.8308753248135545,0.16912467518644544,0.021243223281818182,0.021243223281818182,-59.843549148913425,-60.339886182067836,11
PEPA1_CAIR1_CACA1,PEPA1,0.0,0.6918065309598949,0.4397865639546642,0.5602134360453358,0.021713455030783486,0.021713455030783486,-7026.556113936696,-6710.921004767312,1187
PEPA1_CAIR1_CACA1,CAIR1,0.0,8.460251199776987,0.9331773456036675,0.06682265439633261,0.022837424733333337,0.022837424733333337,-83.4569472932462,-80.6725893898696,15
PEPA1_CAIR1_CACA1,CACA1,0.0,4.621897035181134,0.8518090591498749,0.14819094085012502,0.019831977930769233,0.019831977930769233,-73.28234386906131,-73.3670001660725,13
PEPA1_CAIR1_CATH1,PEPA1,0.0,0.6966547627734133,0.434749882983047,0.565250117016953,0.022543031124166665,0.022543031124166665,-6956.642324444491,-6627.49439470374,1188
PEPA1_CAIR1_CATH1,CAIR1,0.0,1.6632239069320456,0.8097250799046543,0.19027492009534588,0.031057285663529416,0.031057285663529416,-73.58804838795876,-81.21212973203636,17
PEPA1_CAIR1_CATH1,CATH1,0.0,6.106152732207681,0.9000015493111346,0.09999845068886544,0.0159638981,0.0159638981,-60.253329213604246,-60.445924405566444,10
PEPA1_CAIR1_CAHE1,PEPA1,0.0,0.6632081126558462,0.4396900043781467,0.5603099956218535,0.023133748980482642,0.023133748980482642,-6851.096106681648,-6527.3108581586885,1181
PEPA1_CAIR1_CAHE1,CAIR1,0.0,2.638874069175239,0.7913373260750205,0.2086626739249795,0.02088430844190476,0.02088430844190476,-110.62413708894854,-117.44327972079282,21
PEPA1_CAIR1_CAHE1,CAHE1,0.0,6.967208865222448,0.7472886958120503,0.25271130418794974,0.012881769692307692,0.012881769692307692,-82.28836915637332,-84.58554704364012,13
PEPA1_CASE1_CACA1,PEPA1,0.0,0.7230528840348168,0.44090768028680055,0.5590923197131995,0.02181302412070946,0.02181302412070946,-6988.8369047881915,-6683.110730601084,1184
PEPA1_CASE1_CACA1,CASE1,0.0,5.36445847256676,0.8884639488899501,0.11153605111004995,0.007994135888888889,0.007994135888888889,-65.56022638547076,-66.72562178225388,9
PEPA1_CASE1_CACA1,CACA1,0.0,10.970132028073609,0.9543856541831318,0.045614345816868296,0.029272062467272732,0.029272062467272732,-114.51695551423187,-108.27831310517237,22
PEPA1_CASE1_CATH1,PEPA1,0.0,0.7297304464657305,0.4340072387175661,0.5659927612824339,0.02176753084228885,0.02176753084228885,-7012.269803720922,-6688.054592491885,1184
PEPA1_CASE1_CATH1,CASE1,0.0,3.0057968277002174,0.8496080578271855,0.15039194217281474,0.01512069265,0.01512069265,-81.68174311242667,-86.7282934450397,14
PEPA1_CASE1_CATH1,CATH1,0.0,10.263387032784518,0.9411637489835188,0.058836251016481135,0.029419919470588227,0.029419919470588227,-88.92374816243037,-83.05361889151344,17
PEPA1_CASE1_CAHE1,PEPA1,0.0,0.7171749416215344,0.4417479159148209,0.5582520840851791,0.022682596749991554,0.022682596749991554,-6896.920346598912,-6590.54385988076,1184
PEPA1_CASE1_CAHE1,CASE1,0.0,3.5772794987740717,0.7966127528962724,0.20338724710372755,0.020966417364285717,0.020966417364285717,-73.25885912062562,-77.57627491442948,14
PEPA1_CASE1_CAHE1,CAHE1,0.0,4.870595590177646,0.8860118903503473,0.11398810964965268,0.03995330476470588,0.03995330476470588,-71.87945182032885,-72.64827883673651,17
PEPA1_CACA1_CATH1,PEPA1,0.0,0.7016560561734362,0.4341509396277844,0.5658490603722155,0.021818738490608624,0.021818738490608624,-7005.86047851073,-6676.841338305871,1183
PEPA1_CACA1_CATH1,CACA1,0.0,4.792694746649547,0.8354505867493726,0.1645494132506275,0.018473402684761903,0.018473402684761903,-119.59051265961683,-122.59525507385598,21
PEPA1_CACA1_CATH1,CATH1,0.0,3.4145613876095178,0.8348570011041357,0.16514299889586428,0.00948656718181818,0.00948656718181818,-75.02826539443429,-78.07543088792734,11
PEPA1_CACA1_CAHE1,PEPA1,0.0,0.7040294617931221,0.43237681112540244,0.5676231888745976,0.021621396299567063,0.021621396299567063,-7000.784385804347,-6670.001788067457,1178
